,cash,mv,nav
2019-07-01,1080910.5370178854,210122.95697482929,1291033.4939927147
2019-07-02,1080910.5370178854,215799.0693944126,1296709.606412298
2019-07-03,1080910.5370178854,216120.3692326694,1297030.9062505548
2019-07-05,1080910.5370178854,213849.30383084566,1294759.840848731
2019-07-08,1080910.5370178854,217087.22867897202,1297997.7656968574
2019-07-09,1081464.7673887438,217535.7490989413,1299000.516487685
2019-07-10,1081464.7673887438,216544.8971609367,1298009.6645496804
2019-07-11,1081464.7673887438,217039.8333087302,1298504.600697474
2019-07-12,1081464.7673887438,213766.23071650852,1295230.9981052524
2019-07-15,1081464.7673887438,216740.28095146353,1298205.0483402074
2019-07-16,1081464.7673887438,216953.72542681766,1298418.4928155616
2019-07-17,1081464.7673887438,221378.81810853476,1302843.5854972785
2019-07-18,1081464.7673887438,222454.69365410233,1303919.461042846
2019-07-19,1081464.7673887438,218756.23067229608,1300220.99806104
2019-07-22,1081464.7673887438,219899.66202367647,1301364.4294124204
2019-07-23,1081259.09385417,216436.4523825361,1297695.5462367062
2019-07-24,1081259.09385417,212501.5040326595,1293760.5978868296
2019-07-25,1081259.09385417,218630.1459124487,1299889.2397666187
2019-07-26,1081259.09385417,219060.6662837008,1300319.760137871
2019-07-29,1082135.994482725,219692.33897387885,1301828.3334566038
2019-07-30,1083058.4958034146,213937.28569084205,1296995.7814942566
2019-07-31,982893.6245289956,314102.15696525975,1296995.7814942554
2019-08-01,982280.1448717337,323534.08206442685,1305814.2269361606
2019-08-02,982280.1448717337,325863.44551290455,1308143.5903846384
2019-08-05,982280.1448717337,328485.88999123377,1310766.0348629674
2019-08-06,982280.1448717337,333386.65046437527,1315666.7953361091
2019-08-07,982280.1448717337,336526.3480933227,1318806.4929650566
2019-08-08,982075.8629978452,338099.9111835998,1320175.774181445
2019-08-09,983253.1125302253,339183.36105687416,1322436.4735870995
2019-08-12,983253.1125302253,340957.8256233854,1324210.9381536106
2019-08-13,983253.1125302253,341392.2532641546,1324645.36579438
2019-08-14,983041.4009304353,345835.4908521053,1328876.8917825406
2019-08-15,983041.4009304353,351390.63478488463,1334432.03571532
2019-08-16,983041.4009304353,348389.8673296058,1331431.268260041
2019-08-19,983041.4009304353,345419.8015000563,1328461.2024304916
2019-08-20,983041.4009304353,347264.90939236816,1330306.3103228034
2019-08-21,983041.4009304353,347637.67816344195,1330679.0790938772
2019-08-22,983041.4009304353,347392.56582248997,1330433.9667529252
2019-08-23,983041.4009304353,350393.28458184266,1333434.685512278
2019-08-26,983041.4009304353,351814.7138631263,1334856.1147935616
2019-08-27,983041.4009304353,356412.1736705248,1339453.5746009601
2019-08-28,983041.4009304353,353894.25866890576,1336935.659599341
2019-08-29,983041.4009304353,351124.69270983484,1334166.0936402702
2019-08-30,983041.4009304353,350762.57468020037,1333803.9756106357
2019-09-03,983041.4009304353,353330.6125856612,1336372.0135160964
2019-09-04,983041.4009304353,351816.5644025677,1334857.965333003
2019-09-05,983041.4009304353,344976.2960563636,1328017.696986799
2019-09-06,983041.4009304353,343800.79458937066,1326842.195519806
2019-09-09,983041.4009304353,331239.36364475056,1314280.7645751857
2019-09-10,983041.4009304353,320921.0683894356,1303962.469319871
2019-09-11,983041.4009304353,318184.6166271109,1301226.0175575463
2019-09-12,983041.4009304353,320869.3090458327,1303910.709976268
2019-09-13,983041.4009304353,316497.512126917,1299538.9130573524
2019-09-16,983041.4009304353,312065.08874970576,1295106.489680141
2019-09-17,983041.4009304353,320623.6098506238,1303665.010781059
2019-09-18,984129.9972411174,321583.91724673257,1305713.91448785
2019-09-19,984129.9972411174,323653.4593690291,1307783.4566101464
2019-09-20,984129.9972411174,323355.7354021036,1307485.732643221
2019-09-23,984129.9972411174,323775.7654357423,1307905.7626768597
2019-09-24,984909.3155347389,328696.57231229474,1313605.8878470338
2019-09-25,984909.3155347389,326149.2172468052,1311058.5327815441
2019-09-26,984909.3155347389,329550.73724284023,1314460.052777579
2019-09-27,984854.8385548383,327888.6316190533,1312743.4701738916
2019-09-30,848809.4953831882,463933.9747907057,1312743.470173894
2019-10-01,847830.3065212567,468682.8393666793,1316513.145887936
2019-10-02,847830.3065212567,471667.6336618032,1319497.9401830598
