,cash,mv,nav
2014-10-15,26208.58942813901,1014507.3484551648,1040715.9378833038
2014-10-16,26223.770971558522,1020411.1268853599,1046634.8978569184
2014-10-17,26223.770971558522,1024431.0781779361,1050654.8491494947
2014-10-20,26223.770971558522,1031129.3343967905,1057353.105368349
2014-10-21,26223.770971558522,1042520.5224918635,1068744.293463422
2014-10-22,26223.770971558522,1034542.943617239,1060766.7145887977
2014-10-23,26223.770971558522,1042116.6526828913,1068340.4236544499
2014-10-24,26223.770971558522,1045420.9093991917,1071644.6803707504
2014-10-27,26223.770971558522,1041264.9187872268,1067488.6897587853
2014-10-28,26223.770971558522,1051845.280624246,1078069.0515958045
2014-10-29,26223.770971558522,1048355.2016652713,1074578.9726368298
2014-10-30,26223.770971558522,1051149.007655896,1077372.7786274545
2014-10-31,34366.70033279598,1043006.0782946566,1077372.7786274527
2014-11-03,35171.70292815085,1042272.7231390208,1077444.4260671716
2014-11-04,35171.70292815085,1035671.9633865369,1070843.6663146878
2014-11-05,35171.70292815085,1039344.8018665428,1074516.5047946936
2014-11-06,35171.70292815085,1040548.4023595606,1075720.1052877114
2014-11-07,35171.70292815085,1044724.4810280572,1079896.183956208
2014-11-10,35171.70292815085,1043329.671065415,1078501.3739935658
2014-11-11,35171.70292815085,1044561.0213570192,1079732.72428517
2014-11-12,35171.70292815085,1043830.6589569523,1079002.3618851032
2014-11-13,35171.70292815085,1040521.9905081597,1075693.6934363106
2014-11-14,35497.498772637526,1043130.1569269185,1078627.655699556
2014-11-17,35497.498772637526,1042575.0409970612,1078072.5397696986
2014-11-18,35497.498772637526,1047675.841085641,1083173.3398582784
2014-11-19,35531.502440692,1044204.3111189998,1079735.813559692
2014-11-20,35531.502440692,1049107.503122332,1084639.005563024
2014-11-21,35531.502440692,1055319.089081395,1090850.5915220869
2014-11-24,35531.502440692,1056491.7975441187,1092023.2999848106
2014-11-25,35531.502440692,1056654.3499613956,1092185.8524020875
2014-11-26,35531.502440692,1056259.0211548407,1091790.5235955326
2014-11-28,37321.91311463855,1043686.4200210096,1081008.3331356482
2014-12-01,37321.91311463855,1037138.423414035,1074460.3365286735
2014-12-02,37321.91311463855,1038047.2512866507,1075369.1644012893
